pipeline_id,extractor,chunking,embedding,retrieval,avg_retrieval_score,avg_retrieval_time_ms,ragas_faithfulness,ragas_context_precision,ragas_factual_correctness,ragas_semantic_similarity,ragas_composite
doc_lan_nomi_den_rnk,docling,langchain,sentence-transformers,dense,0.2848485385994022,3557.77122663415,0.7422402249948675,0.8312499999503203,0.501521739130435,0.642974255495659,0.6794965548928205
uns_nat_nomi_den,unstructured,native,sentence-transformers,dense,0.6576046914347825,3650.7975381353626,0.7461712967558536,0.7452596617955207,0.5060869565217392,0.6436256265083837,0.6602858853953744
doc_lan_open_den,docling,langchain,openai,dense,0.5712817568695652,3442.7822102671084,0.7623284083066694,0.7301328502006532,0.4958695652173915,0.6466928103555553,0.6587559085200674
doc_lan_nomi_hyb_rnk,docling,langchain,sentence-transformers,hybrid,0.26153929444680335,3383.507604184358,0.7095916296648809,0.8182367149243496,0.4721739130434784,0.634033724926565,0.6585089956398185
lla_lan_nomi_den,llamaparse,langchain,sentence-transformers,dense,0.6679364629999999,3575.649266657622,0.7655632200465682,0.728351449235843,0.4897826086956522,0.6244304907958004,0.6520319421934659
doc_cho_nomi_den,docling,chonkie,sentence-transformers,dense,0.628547699826087,3767.5601399463158,0.7112502232067451,0.763707729430319,0.4550000000000001,0.6259475421517801,0.638976373697211
doc_sem_open_hyb,docling,semantic,openai,hybrid,0.45660035060869575,3963.7742664503016,0.6542770548761319,0.8350845410282766,0.4356521739130434,0.6210281767489285,0.6365104866415952
lla_sem_nomi_den_rnk,llamaparse,semantic,sentence-transformers,dense,0.1402069637680973,4426.770018494647,0.6976986661843524,0.7743659419856289,0.39304347826086966,0.6101112605020356,0.6188048367332216
doc_lan_nomi_den,docling,langchain,sentence-transformers,dense,0.7062326649275362,2734.159651009933,0.7381625141695475,0.7028985506711954,0.3982608695652175,0.6280503701676914,0.6168430761434129
doc_lan_nomi_hyb,docling,langchain,sentence-transformers,hybrid,0.36256038670289853,2610.152980555659,0.6830563934539908,0.6847826086391301,0.43652173913043485,0.6338887283788335,0.6095623674005972
doc_lan_open_hyb,docling,langchain,openai,hybrid,0.3833333359999998,2534.1829268828683,0.6683827681270139,0.5260869564832548,0.47021739130434786,0.6485865683451923,0.5783184210649522
doc_sem_nomi_den,docling,semantic,sentence-transformers,dense,0.6373587180869565,3963.7695188107696,0.6529700945470228,0.5376207729104336,0.40086956521739125,0.6177989917895321,0.5523148561160949
